date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2016-12-30,56339,329380,95,0,83,0,3,0,2.884206691359524e-4,0,0.0014732245868758764,0,9.108021130609024e-6,0,1,565,53,319225,2809
2016-12-31,57862,362297,71,1,60,1,0,0,1.9597181318089854e-4,2.760166382829557e-6,0.0010369499844457503,1.7282499740762503e-5,0,0,1,566,54,320356,2916
2017-01-01,58856,330334,108,0,90,0,1,0,3.269418225190262e-4,0,0.001529155905939921,0,3.0272390973983908e-6,0,1,567,55,321489,3025
2017-01-02,56112,332041,75,0,58,0,2,0,2.258757201670878e-4,0,0.001033646991730824,0,6.023352537789008e-6,0,1,568,56,322624,3136
2017-01-03,58763,357500,106,0,80,0,2,0,2.965034965034965e-4,0,0.0013614008815070707,0,5.594405594405594e-6,0,1,569,57,323761,3249
2017-01-04,59355,353876,83,1,75,1,1,0,2.3454543399382835e-4,2.825848602335281e-6,0.0012635835228708618,1.6847780304944824e-5,2.825848602335281e-6,0,1,570,58,324900,3364
2017-01-05,60363,369558,145,0,117,0,2,0,3.923606037482614e-4,0,0.0019382734456537946,0,5.411870396527744e-6,0,1,571,59,326041,3481
2017-01-06,61019,381493,114,1,95,1,13,0,2.988259286539989e-4,2.621280075912271e-6,0.0015568921155705599,1.6388338058637473e-5,3.407664098685952e-5,0,1,572,60,327184,3600
2017-01-07,55927,337411,98,2,83,2,3,0,2.9044696231006104e-4,5.927489026735939e-6,0.0014840774581150427,3.5760902605181755e-5,8.891233540103909e-6,0,1,573,61,328329,3721
2017-01-08,56079,350700,88,1,66,1,2,0,2.5092671799258623e-4,2.85143997718848e-6,0.0011769111432086878,1.783198701831345e-5,5.70287995437696e-6,0,1,574,62,329476,3844
2017-01-09,61532,392326,134,1,118,1,2,0,3.415526883255252e-4,2.5489006591457107e-6,0.0019177013586426574,1.6251706429175062e-5,5.097801318291421e-6,0,1,575,63,330625,3969
2017-01-10,61995,383032,120,0,111,0,3,0,3.132897512479375e-4,0,0.0017904669731429953,0,7.832243781198438e-6,0,1,576,64,331776,4096
2017-01-11,63468,402924,197,2,179,2,2,0,4.889259512960261e-4,4.963715241584021e-6,0.0028203189008634273,3.151194302640701e-5,4.963715241584021e-6,0,1,577,65,332929,4225
2017-01-12,62416,378376,102,2,93,2,4,0,2.6957312303105903e-4,5.2857475104129225e-6,0.0014900025634452705,3.204306588054345e-5,1.0571495020825845e-5,0,1,578,66,334084,4356
2017-01-13,61527,370859,115,0,96,0,11,0,3.10090897079483e-4,0,0.0015602906041250182,0,2.966086841629838e-5,0,1,579,67,335241,4489
2017-01-14,56626,342168,83,0,75,0,5,0,2.4257090084402983e-4,0,0.0013244799208843995,0,1.4612704870122278e-5,0,1,580,68,336400,4624
2017-01-15,56596,359201,100,0,95,0,4,0,2.7839566148201144e-4,0,0.0016785638561029048,0,1.1135826459280458e-5,0,1,581,69,337561,4761
2017-01-16,61284,390009,134,0,114,0,3,0,3.435818147786333e-4,0,0.001860191893479538,0,7.692130181611193e-6,0,1,582,70,338724,4900
2017-01-17,61493,378287,143,1,104,1,7,1,3.780198632255404e-4,2.643495547031751e-6,0.0016912494105020084,1.626201356251931e-5,1.8504468829222258e-5,2.643495547031751e-6,1,583,71,339889,5041
2017-01-18,61827,375360,85,0,67,0,5,0,2.2644927536231884e-4,0,0.001083668947223705,0,1.3320545609548167e-5,0,1,584,72,341056,5184
2017-01-19,62622,388688,105,0,97,0,3,0,2.701395463713827e-4,0,0.0015489763980709654,0,7.718272753468077e-6,0,1,585,73,342225,5329
2017-01-20,65747,442541,165,1,149,1,4,0,3.728468096741319e-4,2.259677634388678e-6,0.0022662630994570096,1.5209819459443017e-5,9.038710537554713e-6,0,1,586,74,343396,5476
2017-01-21,60414,401913,120,0,112,0,2,0,2.9857207903202933e-4,0,0.0018538749296520675,0,4.976201317200489e-6,0,1,587,75,344569,5625
2017-01-22,60298,412291,151,0,140,0,1,0,3.662461707871382e-4,0,0.0023218017181332712,0,2.4254713297161473e-6,0,1,588,76,345744,5776
