,RMSE_x1,COVERAGE_x1,LL_x1,RMSE_x2,COVERAGE_x2,LL_x2,MODEL
14,0.12089907910498701,0.995,1.6240867308928228,0.06719898743527108,0.993,2.38558918012871,GPR
15,0.14022414840820663,0.987,1.6624135607720083,0.07414056461835024,0.988,1.9490066913719044,GPR
16,0.15122696428911703,0.979,1.3747946401933202,0.05396244726588894,0.975,2.31114049720404,GPR
17,0.3308244120699061,0.996,1.0498474345502073,0.13854208761250228,0.995,1.613955553034883,GPR
18,0.18147985683246529,0.985,1.3396740065636275,0.06442397537696744,0.988,2.4461171126185213,GPR
19,0.1445391992516363,0.99,1.2638998409325786,0.09479020367491148,0.995,1.648273620235933,GPR
20,0.2171395111482339,0.99,1.2006783459628436,0.07589823518346575,0.986,2.1243480686199936,GPR
21,0.1443075194748466,0.996,1.5763619160876892,0.07294846683984745,0.988,2.240547405053735,GPR
22,0.16400698425904264,0.993,1.1038976980007997,0.05197416469363176,0.992,2.30301950421366,GPR
23,0.18907677083933103,0.989,1.5395925134106108,0.09511576372583995,0.99,2.198032773728927,GPR
24,0.31227444771767265,0.932,1.3525110447484825,0.09422692255723163,0.989,2.36674509471575,GPR
0,0.40564026908435036,0.941,1.186700584324126,0.2045658534452871,0.956,1.5630801581161542,FULLBAYES
1,0.39083476590484034,0.768,1.7417145316276543,0.1856867203363872,0.847,2.026041840135755,FULLBAYES
2,0.30239117886905215,0.728,2.2685548872553825,0.13688549043330075,0.734,2.902903034632486,FULLBAYES
3,0.29975485675680236,0.79,2.0800068298174432,0.11889616067000347,0.746,2.8768856563449825,FULLBAYES
4,0.30207324775989913,0.682,2.269055037063092,0.15356567394316492,0.672,2.759257192170414,FULLBAYES
5,0.25773973077343293,0.759,2.2080878857370605,0.13360448955622733,0.86,2.54931080193886,FULLBAYES
6,0.30163458317290864,0.789,1.8745039330085889,0.1345511549171879,0.866,2.2786112252294037,FULLBAYES
7,0.2781435226450298,0.724,2.1752577524671675,0.12611427672034317,0.655,2.8662611928450037,FULLBAYES
8,0.3827896160044148,0.971,0.85692202814843,0.14877672114444987,0.973,1.3545035260962917,FULLBAYES
9,0.3003315246600732,0.707,2.119323648668346,0.12669183969505862,0.571,2.93305983918356,FULLBAYES
