country,year,PIRI,mu_D0,mu_D1,std,AIShame
MALAWI,1994,2.0,1.6495200145211946,1.9999999999999964,0.15752284145014808,1.0
MALAWI,1995,1.0,1.0000000000000033,1.3504799854788052,0.15687273578197203,0.0
MALAWI,1996,4.0,4.0000000000000036,4.350479985478805,0.15687273578197417,0.0
MALAWI,1997,4.0,3.6495200145211983,4.0,0.15752284145014808,1.0
MALAWI,1998,1.0,1.0000000000000082,1.35047998547881,0.15687273578197486,0.0
MALAWI,1999,3.0,3.0000000000000053,3.350479985478807,0.15687273578197203,0.0
MALAWI,2000,1.0,0.9999999999999984,1.3504799854788003,0.15687273578197558,0.0
MALAYSIA,1983,1.0,0.9999999999999984,1.3504799854788003,0.156872735781977,0.0
MALAYSIA,1984,2.0,1.9999999999999993,2.350479985478801,0.15687273578198335,0.0
MALAYSIA,1985,2.0,1.999999999999999,2.3504799854788008,0.156872735781977,0.0
MALAYSIA,1986,2.0,1.9999999999999998,2.3504799854788017,0.156872735781977,0.0
MALAYSIA,1987,3.0,2.6495200145211957,2.9999999999999973,0.15752284145015372,1.0
MALAYSIA,1988,3.0,2.649520014521203,3.0000000000000044,0.1575228414501502,1.0
MALAYSIA,1989,2.0,1.9999999999999953,2.350479985478797,0.15687273578197983,0.0
MALAYSIA,1990,5.0,5.000000000000002,5.350479985478803,0.15687273578197275,0.0
MALAYSIA,1991,3.0,2.9999999999999947,3.3504799854787963,0.1568727357819784,0.0
MALAYSIA,1992,2.0,1.9999999999999944,2.3504799854787963,0.1568727357819784,0.0
MALAYSIA,1993,2.0,1.9999999999999962,2.350479985478798,0.156872735781977,0.0
MALAYSIA,1994,3.0,2.6495200145212,3.0000000000000018,0.15752284145015513,1.0
MALAYSIA,1995,3.0,2.999999999999999,3.3504799854788008,0.15687273578198052,0.0
MALAYSIA,1996,1.0,0.6495200145211919,0.9999999999999938,0.15752284145014597,1.0
MALAYSIA,1997,3.0,2.649520014521201,3.0000000000000027,0.15752284145015655,1.0
MALAYSIA,1998,3.0,2.649520014521202,3.0000000000000036,0.15752284145015233,1.0
MALAYSIA,1999,3.0,2.6495200145212,3.0000000000000018,0.1575228414501495,1.0
MALAYSIA,2000,6.0,5.649520014521196,5.999999999999997,0.1575228414501509,1.0
MALI,1983,1.0,1.0000000000000064,1.3504799854788083,0.15687273578198124,0.0
MALI,1984,3.0,2.999999999999991,3.3504799854787928,0.15687273578198124,0.0
MALI,1985,1.0,0.999999999999998,1.3504799854787999,0.15687273578198124,0.0
MALI,1986,1.0,1.0000000000000029,1.3504799854788048,0.15687273578198124,0.0
MALI,1987,2.0,2.0,2.350479985478802,0.156872735781977,0.0
MALI,1988,2.0,2.000000000000001,2.350479985478803,0.1568727357819869,0.0
MALI,1989,2.0,1.9999999999999971,2.350479985478799,0.15687273578198335,0.0
MALI,1990,4.0,3.9999999999999885,4.35047998547879,0.15687273578198052,0.0
MALI,1991,8.0,8.000000000000002,8.350479985478803,0.156872735781977,0.0
MALI,1992,4.0,4.000000000000002,4.350479985478803,0.15687273578197983,0.0
MALI,1993,2.0,1.9999999999999984,2.3504799854788003,0.15687273578198266,0.0
MALI,1994,4.0,3.999999999999999,4.350479985478801,0.15687273578197983,0.0
MALI,1995,4.0,3.9999999999999973,4.350479985478799,0.15687273578197983,0.0
MALI,1996,0.0,4.218847493575595e-15,0.35047998547880604,0.15687273578198124,0.0
MALI,1997,1.0,0.9999999999999967,1.3504799854787986,0.1568727357819784,0.0
MALI,1998,2.0,1.9999999999999962,2.350479985478798,0.15687273578197983,0.0
MALI,1999,1.0,0.6495200145211928,0.9999999999999947,0.1575228414501474,1.0
MALI,2000,2.0,1.9999999999999936,2.3504799854787954,0.1568727357819777,0.0
MAURITNI,1983,1.0,0.6495200145211959,0.9999999999999978,0.1575228414501509,1.0
MAURITNI,1984,2.0,1.9999999999999922,2.350479985478794,0.15687273578198052,0.0
MAURITNI,1985,1.0,0.9999999999999913,1.3504799854787932,0.15687273578197627,0.0
MAURITNI,1986,2.0,1.9999999999999998,2.3504799854788017,0.15687273578197983,0.0
MAURITNI,1987,4.0,3.9999999999999956,4.350479985478797,0.15687273578197983,0.0
MAURITNI,1988,3.0,2.999999999999999,3.3504799854788008,0.15687273578198124,0.0
MAURITNI,1989,4.0,3.649520014521209,4.000000000000011,0.15752284145015655,1.0
MAURITNI,1990,8.0,7.649520014521206,8.000000000000007,0.15752284145015724,1.0
MAURITNI,1991,8.0,7.649520014521201,8.000000000000002,0.15752284145015866,1.0
MAURITNI,1992,5.0,4.999999999999987,5.350479985478788,0.1568727357819784,0.0
MAURITNI,1993,4.0,4.0,4.350479985478802,0.15687273578198052,0.0
MAURITNI,1994,3.0,3.000000000000008,3.3504799854788097,0.1568727357819784,0.0
MAURITNI,1995,3.0,2.9999999999999964,3.350479985478798,0.15687273578198052,0.0
MAURITNI,1996,1.0,0.9999999999999936,1.3504799854787954,0.1568727357819777,0.0
MAURITNI,1997,3.0,2.6495200145212037,3.0000000000000058,0.15752284145015444,1.0
MAURITNI,1998,2.0,1.9999999999999931,2.350479985478795,0.15687273578197983,0.0
MAURITNI,1999,3.0,2.649520014521202,3.0000000000000036,0.15752284145015796,1.0
MAURITNI,2000,2.0,1.6495200145211923,1.9999999999999942,0.15752284145015655,1.0
MAURTIUS,1983,0.0,-5.10702591327572e-15,0.3504799854787967,0.15687273578198052,0.0
MAURTIUS,1984,0.0,-3.3306690738754696e-15,0.3504799854787985,0.15687273578197558,0.0
MAURTIUS,1985,0.0,-3.3306690738754696e-15,0.3504799854787985,0.15687273578197983,0.0
MAURTIUS,1986,0.0,-1.9984014443252818e-15,0.3504799854787998,0.15687273578197417,0.0
MAURTIUS,1987,0.0,-5.995204332975845e-15,0.35047998547879583,0.15687273578197133,0.0
MAURTIUS,1988,0.0,-6.439293542825908e-15,0.3504799854787954,0.156872735781977,0.0
MAURTIUS,1989,1.0,1.0000000000000002,1.350479985478802,0.156872735781977,0.0
MAURTIUS,1990,1.0,0.9999999999999989,1.3504799854788008,0.1568727357819791,0.0
MAURTIUS,1991,1.0,1.0000000000000033,1.3504799854788052,0.15687273578197558,0.0
MAURTIUS,1992,0.0,-1.5765166949677223e-14,0.35047998547878606,0.15687273578197486,0.0
MAURTIUS,1993,2.0,2.0000000000000036,2.350479985478805,0.15687273578197983,0.0
MAURTIUS,1994,2.0,1.9999999999999927,2.3504799854787946,0.15687273578197558,0.0
MAURTIUS,1995,1.0,0.6495200145212061,1.000000000000008,0.1575228414501488,1.0
MAURTIUS,1996,1.0,0.9999999999999984,1.3504799854788003,0.1568727357819777,0.0
MAURTIUS,1997,1.0,1.0000000000000016,1.3504799854788034,0.1568727357819777,0.0
MAURTIUS,1998,1.0,0.9999999999999998,1.3504799854788017,0.1568727357819777,0.0
MAURTIUS,1999,3.0,2.9999999999999956,3.3504799854787977,0.15687273578197486,0.0
MAURTIUS,2000,2.0,2.000000000000001,2.350479985478803,0.1568727357819791,0.0
