gpr_mean,true_y,gpr_lwr,gpr_upr,year,country
0.44052962230185533,0.0,-1.0061267842751955,1.8871860288789062,1994,FRANCE
0.583459478997572,0.0,-0.8655536455501651,2.032472603545309,1995,FRANCE
0.8830396135931751,0.0,-0.5670473153279851,2.3331265425143353,1996,FRANCE
1.1574634245049216,2.0,-0.29435642357471514,2.609283272584558,1997,FRANCE
1.404082726436015,2.0,-0.05230414876734435,2.860469601639374,1998,FRANCE
1.5512340933298976,2.0,0.08585196818363894,3.0166162184761562,1999,FRANCE
1.4220297578069527,1.0,-0.05689893619870223,2.900958451812608,2000,FRANCE
0.026656576157914225,0.0,-1.4530493562671205,1.506362508582949,1983,SWITZERL
0.014884142952167723,0.0,-1.44987935393629,1.4796476398406255,1984,SWITZERL
-0.0016894854173178375,0.0,-1.4534760143302723,1.4500970434956364,1985,SWITZERL
-0.021031426637288686,0.0,-1.4634040150846779,1.4213411618101006,1986,SWITZERL
0.03916205834786202,0.0,-1.3961668803226468,1.4744909970183708,1987,SWITZERL
0.028983773639845778,0.0,-1.399662968353637,1.4576305156333285,1988,SWITZERL
0.04998908307312361,0.0,-1.372367033863218,1.472345200009465,1989,SWITZERL
0.11150418671823653,0.0,-1.3056128292480473,1.5286212026845203,1990,SWITZERL
0.20669840295739927,0.0,-1.2074752056702969,1.6208720115850954,1991,SWITZERL
0.6809413875938345,1.0,-0.7326071628930905,2.0944899380807596,1992,SWITZERL
0.70798592480627,1.0,-0.7079004072806679,2.123872256893208,1993,SWITZERL
0.7298459872585623,1.0,-0.6933850425793233,2.153077017096448,1994,SWITZERL
0.572429760238633,0.0,-0.8539944188327337,1.9988539393099998,1995,SWITZERL
0.4748714737577807,1.0,-0.9574464863846045,1.9071894339001658,1996,SWITZERL
0.40463653089274715,0.0,-1.0348180012549475,1.8440910630404417,1997,SWITZERL
0.37498011381258595,0.0,-1.0748053756479365,1.8247656032731083,1998,SWITZERL
0.37901613339135454,1.0,-1.084658368648817,1.8426906354315262,1999,SWITZERL
0.3933914594898349,0.0,-1.0858236131512888,1.8726065321309586,2000,SWITZERL
2.0404856607636894,3.0,0.5602415631303979,3.520729758396981,1983,SPAIN
1.9372922873121607,2.0,0.4612612484616865,3.413323326162635,1984,SPAIN
1.8117153160780284,1.0,0.3344074441545317,3.289023188001525,1985,SPAIN
1.51606476431626,3.0,0.04139196008632817,2.9907375685461917,1986,SPAIN
1.3851423712985966,0.0,-0.08728208866979204,2.8575668312669853,1987,SPAIN
1.2452997865939384,1.0,-0.22439616992149936,2.714995743109376,1988,SPAIN
1.1982481703838115,2.0,-0.26884568089467176,2.665342021662295,1989,SPAIN
1.2506986580608201,0.0,-0.21243444171373582,2.713831757835376,1990,SPAIN
1.3955495522253414,2.0,-0.06397125957899474,2.8550703640296775,1991,SPAIN
1.6008648980352251,1.0,0.14092836288037458,3.0608014331900755,1992,SPAIN
1.7976398569784848,2.0,0.3333851743506102,3.2618945396063594,1993,SPAIN
1.8864817494761814,2.0,0.4179322730669228,3.35503122588544,1994,SPAIN
1.8835865233494846,3.0,0.4130404688693783,3.354132577829591,1995,SPAIN
1.6886760916965986,2.0,0.21694020930918478,3.1604119740840124,1996,SPAIN
1.4724506219281137,0.0,-0.0012016064900026713,2.94610285034623,1997,SPAIN
1.3385310111485718,1.0,-0.13639134111827755,2.8134533634154213,1998,SPAIN
1.3246282023874765,2.0,-0.15148518535273103,2.800741590127684,1999,SPAIN
1.3904222526187193,1.0,-0.09029094264612159,2.8711354478835602,2000,SPAIN
0.29938995743256647,0.0,-1.1915005274429071,1.79028044230804,1983,PORTUGAL
0.22616435802791846,0.0,-1.2582814047410782,1.710610120796915,1984,PORTUGAL
0.20642696428518925,0.0,-1.2737346880629425,1.686588616633321,1985,PORTUGAL
0.24909403934542063,0.0,-1.228863645247212,1.7270517239380532,1986,PORTUGAL
0.3368819242768908,0.0,-1.1394486616676962,1.8132125102214778,1987,PORTUGAL
0.44858736541713096,1.0,-1.0254494139170718,1.922624144751334,1988,PORTUGAL
0.6503034837472288,0.0,-0.8199777068521532,2.1205846743466106,1989,PORTUGAL
0.7804234179129877,1.0,-0.6860456421880657,2.246892478014041,1990,PORTUGAL
0.910619450854352,1.0,-0.5535666445952859,2.37480554630399,1991,PORTUGAL
1.0300002872843455,1.0,-0.43428577644357413,2.4942863510122653,1992,PORTUGAL
1.114713765006838,1.0,-0.3519501530114175,2.581377683025093,1993,PORTUGAL
1.1396031081876168,2.0,-0.33073470623448675,2.60994092260972,1994,PORTUGAL
1.1160587358787535,1.0,-0.35802899332330695,2.5901464650808137,1995,PORTUGAL
1.1555669958419827,1.0,-0.3227688381569058,2.6339028298408715,1996,PORTUGAL
1.0891126654445407,1.0,-0.3892234641259451,2.5674487950150264,1997,PORTUGAL
1.1125977506949174,1.0,-0.36766939751960326,2.592864898909438,1998,PORTUGAL
1.1270944397808556,2.0,-0.3573548289350923,2.6115437084968036,1999,PORTUGAL
1.0968574689590134,1.0,-0.3941485781772769,2.587863516095304,2000,PORTUGAL
0.4567805264629151,1.0,-0.8588769903744996,1.7724380433003297,1992,GERMANY
0.31989629422336274,0.0,-0.9522444801827006,1.592037068629426,1993,GERMANY
0.26921621161896947,0.0,-0.9782691100210797,1.5167015332590186,1994,GERMANY
0.241510299652831,0.0,-0.9816004311868102,1.4646210304924723,1995,GERMANY
0.32566477188535414,0.0,-0.8842496420777951,1.5355791858485035,1996,GERMANY
0.48007262340727563,0.0,-0.74293231190102,1.7030775587155713,1997,GERMANY
0.6325835183513082,2.0,-0.6148351104467613,1.8800021471493777,1998,GERMANY
0.727157321650656,0.0,-0.5460411163132216,2.000355759614534,1999,GERMANY
0.6822629695054279,1.0,-0.6359180098611981,2.0004439488720536,2000,GERMANY
1.9410391098353854,2.0,0.5914775356414745,3.2906006840292963,1990,POLAND
1.2174656500465806,2.0,-0.06596644844159383,2.500897748534755,1991,POLAND
1.069869303688657,1.0,-0.14210500309465535,2.2818436104719693,1992,POLAND
0.9048910951514441,0.0,-0.21392675887935242,2.0237089491822404,1993,POLAND
0.7717305833509174,1.0,-0.2404092735223069,1.7838704402241417,1994,POLAND
0.6989404935996502,1.0,-0.26050360419956775,1.658384591398868,1995,POLAND
0.7001994935553979,0.0,-0.3138976891889911,1.7142966762997869,1996,POLAND
0.769512697088366,1.0,-0.35247694870538393,1.891502342882116,1997,POLAND
0.8885356655145692,0.0,-0.3273955836161321,2.1044669146452706,1998,POLAND
1.0123142916391061,2.0,-0.2751153229163106,2.299743906194523,1999,POLAND
1.0950048173235072,1.0,-0.25619391554621807,2.4462035501932324,2000,POLAND
0.322975223767453,0.0,-1.15969322722895,1.805643674763856,1983,AUSTRIA
0.31324246237256137,0.0,-1.1595840031157312,1.786068927860854,1984,AUSTRIA
0.41892169297381243,0.0,-1.0494925976630942,1.887335983610719,1985,AUSTRIA
0.6103624530975846,0.0,-0.859773019950945,2.0804979261461143,1986,AUSTRIA
0.8882244680227638,2.0,-0.5852193646245729,2.3616683006701003,1987,AUSTRIA
1.0202496820807774,1.0,-0.45240997247714376,2.4929093366386983,1988,AUSTRIA
1.0646989395595974,1.0,-0.4026762648215638,2.5320741439407586,1989,AUSTRIA
1.1111660968915553,1.0,-0.35020525279121584,2.5725374465743265,1990,AUSTRIA
0.9859623810101954,1.0,-0.4690027926714797,2.4409275546918705,1991,AUSTRIA
0.8981386597064855,1.0,-0.5570744698624686,2.3533517892754396,1992,AUSTRIA
0.7895635190739586,1.0,-0.6711535713023166,2.250280609450234,1993,AUSTRIA
0.7634775611447666,1.0,-0.7046302180366888,2.2315853403262222,1994,AUSTRIA
0.7655813299543882,0.0,-0.7071473804808973,2.2383100403896736,1995,AUSTRIA
0.9047142194742293,0.0,-0.5678503302299465,2.377278769178405,1996,AUSTRIA
1.0781973542531316,2.0,-0.3916406805720447,2.548035389078308,1997,AUSTRIA
1.3044885679007092,1.0,-0.16435503926016204,2.7733321750615803,1998,AUSTRIA
1.4824878939001587,3.0,0.009246939265165954,2.955728848535151,1999,AUSTRIA
1.444058591444119,1.0,-0.03931492826140626,2.9274321111496446,2000,AUSTRIA
1.289856925063524,1.0,-0.19586897515014412,2.775582825277192,1983,HUNGARY
1.3375337524229753,2.0,-0.13999527208771645,2.815062776933667,1984,HUNGARY
1.2966397207124474,1.0,-0.17624339195972727,2.769522833384622,1985,HUNGARY
1.1320905527483887,2.0,-0.3394840849125933,2.6036651904093704,1986,HUNGARY
0.9646742095492915,1.0,-0.5070187248051128,2.436367143903696,1987,HUNGARY
0.7432925755667086,0.0,-0.7266790657747071,2.213264216908124,1988,HUNGARY
0.6323987390677304,0.0,-0.8350772839008036,2.099874762036264,1989,HUNGARY
0.010938138873077263,0.0,-1.4534332694435457,1.4753095471897,1990,HUNGARY
0.1488951903338981,0.0,-1.3135055449741744,1.6112959256419703,1991,HUNGARY
0.28905778724965936,1.0,-1.1739556474165833,1.752071221915902,1992,HUNGARY
0.39998157654607075,0.0,-1.0662025031722768,1.8661656562644184,1993,HUNGARY
0.5410215631018256,0.0,-0.9321800529784809,2.014223179182132,1994,HUNGARY
0.5271387284155897,1.0,-0.9464369007897275,2.000714357620907,1995,HUNGARY
0.5561491665180465,1.0,-0.9186675092742593,2.0309658423103523,1996,HUNGARY
0.5572777430036702,0.0,-0.9175328594891485,2.032088345496489,1997,HUNGARY
0.546842074571321,1.0,-0.9288647296293244,2.0225488787719663,1998,HUNGARY
0.5418687320531729,0.0,-0.9378598903789875,2.0215973544853334,1999,HUNGARY
0.5391319935891931,1.0,-0.9480560360064515,2.0263200231848377,2000,HUNGARY
0.14411519249023286,0.0,-1.1815551959678525,1.4697855809483182,1990,CZECH REP
0.3314710434430807,0.0,-0.932542362024116,1.5954844489102775,1991,CZECH REP
0.5424310015649507,0.0,-0.6558003130287384,1.7406623161586399,1992,CZECH REP
1.1558527680370936,2.0,0.05808737144729981,2.2536181646268876,1993,CZECH REP
1.1342083564078949,3.0,0.15356977594007493,2.114846936875715,1994,CZECH REP
1.020679356210427,0.0,0.09143582318337262,1.9499228892374814,1995,CZECH REP
0.7237176772629359,0.0,-0.25851642232980565,1.7059517768556773,1996,CZECH REP
0.5529146420356887,1.0,-0.5446094033642359,1.6504386874356134,1997,CZECH REP
0.47608868964207285,0.0,-0.7183101796353417,1.6704875589194874,1998,CZECH REP
0.46629291663921113,1.0,-0.7945207123254205,1.7271065456038428,1999,CZECH REP
0.484512166430167,0.0,-0.8396301097107914,1.8086544425711255,2000,CZECH REP
1.410809895189054,2.0,0.029149152579085458,2.7924706377990223,1995,SLOVAK
1.4020212222415658,1.0,0.0752185382246846,2.728823906258447,1996,SLOVAK
1.2879978018418514,1.0,-0.00407655414980268,2.5800721578335057,1997,SLOVAK
1.2816633142915594,1.0,-0.010082372969534292,2.573409001552653,1998,SLOVAK
1.3071014528628828,2.0,-0.018445015894408723,2.6326479216201744,1999,SLOVAK
1.3321232215753764,1.0,-0.048129053722189896,2.7123754968729425,2000,SLOVAK
0.6681802192889592,0.0,-0.8185223092106073,2.154882747788526,1983,ITALY
0.7073116692991124,1.0,-0.7713954344741163,2.186018773072341,1984,ITALY
0.8085931056921536,0.0,-0.6642544973918447,2.281440708776152,1985,ITALY
0.9326063580863948,2.0,-0.535897286589236,2.4011100027620254,1986,ITALY
1.0272332952843006,0.0,-0.437660748375744,2.4921273389443455,1987,ITALY
1.0588394630679114,2.0,-0.4030447397350536,2.5207236658708765,1988,ITALY
1.1161324260284724,1.0,-0.3423279494126956,2.5745928014696404,1989,ITALY
1.0853704774499304,1.0,-0.36951041684721253,2.5402513717470736,1990,ITALY
1.0948911626117996,1.0,-0.3576628923981837,2.547445217621783,1991,ITALY
1.8348786086715576,1.0,0.37731280728793104,3.292444410055184,1992,ITALY
1.224327099236603,2.0,-0.2308587265156068,2.679512924988813,1993,ITALY
1.24419017742489,2.0,-0.21434732043592808,2.702727675285708,1994,ITALY
1.2802377647073435,1.0,-0.18266063412557831,2.7431361635402656,1995,ITALY
1.183573962145278,1.0,-0.28210046478102146,2.6492483890715777,1996,ITALY
1.2525989036909297,0.0,-0.21741305861625526,2.7226108659981145,1997,ITALY
1.2130934014565848,3.0,-0.2611004134738242,2.687287216386994,1998,ITALY
1.220052433493237,1.0,-0.2599431229981559,2.70004798998463,1999,ITALY
1.2486726601713565,1.0,-0.23895304168431486,2.7362983620270276,2000,ITALY
4.683087793885136,7.0,3.270692163142072,6.0954834246282,1983,ALBANIA
2.8045160543538747,2.0,1.4607641360615033,4.148267972646246,1992,ALBANIA
2.880524328030235,1.0,1.6345276981178667,4.126520957942603,1993,ALBANIA
3.24947074344295,4.0,2.0990261961259566,4.399915290759943,1994,ALBANIA
3.4933392071166556,4.0,2.4088368638560116,4.5778415503773,1995,ALBANIA
3.642489709818488,4.0,2.581689628949521,4.703289790687455,1996,ALBANIA
3.6968384803054573,3.0,2.6133671263142975,4.780309834296617,1997,ALBANIA
3.5570424154817912,3.0,2.407116338014066,4.706968492949517,1998,ALBANIA
3.5296276911543885,5.0,2.2863549930835134,4.7729003892252635,1999,ALBANIA
3.4692700541330055,2.0,2.1274321308563824,4.811107977409629,2000,ALBANIA
1.9084978698304065,2.0,0.5734851960190137,3.2435105436417992,1995,FYRM
1.8126128845343439,2.0,0.5252633220746068,3.099962446994081,1996,FYRM
1.8606930916337732,1.0,0.590646881641697,3.1307393016258493,1997,FYRM
1.8952480998200725,2.0,0.6245278876730862,3.1659683119670587,1998,FYRM
2.1591347375954575,1.0,0.8715821769551664,3.446687298235749,1999,FYRM
2.367765905016566,4.0,1.0329018532165348,3.7026299568165975,2000,FYRM
2.8670012961666385,6.0,1.4129796578430298,4.321022934490247,1994,CROATIA
