,cat_rat,ccpr_rat,polrt,cvrt,hrai,hrsd,country,year,idcode,PIRI,Dis,Kill,Pris,Tort,Polity2,Civilwar2,War,gdppc,pop,Media_ai_rn,Media_ai_br,Media_ai_tot,Media_ec,Media_nw,Media_tot,Media_ave,INGO_uia,UNShame,intensity,yearLag1,PIRILag1,PIRILag2,PIRILead1,polrtLag1,polrtLag2,polrtLead1,democratic,Media_ai_tot_ph,logAI,AIShame,log_gdppc,log_pop
1754,1,1,1,2,NA,NA,SLOVENIA,2000,349,1,0,0,0,1,10,0,0,9600.741211,1989000,0,0,0,0,0,0,0,NA,NA,NA,1999,0,0,0,1,1,1,1,0.01,-4.622010935,0,9.169595584,14.50314256
1777,1,0,1,3,3,1,GREECE,1996,350,2,0,0,1,1,10,0,0,9045.731445,10700000,0,8,8,0,0,0,0,1923,0,1,1995,2,3,2,1,1,1,1,8,2.062600793,0,9.110048262,16.1857543
1778,1,1,1,3,2,2,GREECE,1997,350,2,0,0,1,1,10,0,0,9315.626953,10800000,2,10,12,0,0,0,0,1984,0,1,1996,2,2,0,1,1,1,1,12,2.468065901,1,9.139448587,16.19505669
1779,1,1,1,3,2,2,GREECE,1998,350,0,0,0,0,0,10,0,0,9577.435547,10800000,8,7,15,0,0,0,0,2054,0,1,1997,2,2,1,1,1,1,1,15,2.691209452,1,9.167165147,16.19505669
1780,1,1,1,3,2,2,GREECE,1999,350,1,0,0,0,1,10,0,0,9861.240234,10900000,0,4,4,0,0,0,0,2089,0,1,1998,0,2,1,1,1,1,1,4,1.369453612,0,9.196367224,16.20427335
1781,1,1,1,3,2,1,GREECE,2000,350,1,0,0,0,1,10,0,0,10267.94043,10900000,0,3,3,0,0,0,0,NA,0,1,1999,1,0,2,1,1,1,1,3,1.08177154,0,9.23678174,16.20427335
1804,1,1,1,1,2,1,CYPRUS,1996,352,1,0,1,0,0,10,0,0,10118.63965,738000,1,2,3,0,0,0,0,669,1,2,1995,3,2,1,1,1,1,1,3,1.08177154,1,9.222134512,13.5116991
1805,1,1,1,1,2,2,CYPRUS,1997,352,1,0,0,0,1,10,0,0,10277.92969,744000,1,4,5,0,1,1,0.5,691,1,3,1996,1,3,1,1,1,1,1,5,1.592597163,1,9.237754126,13.51979631
1806,1,1,1,1,2,1,CYPRUS,1998,352,1,0,0,0,1,10,0,0,10719.78027,749000,3,1,4,0,0,0,0,716,1,2,1997,1,1,1,1,1,1,1,4,1.369453612,1,9.279845938,13.52649426
1807,1,1,1,1,2,1,CYPRUS,1999,352,1,0,0,0,1,10,0,0,11138.53027,754000,0,3,3,0,0,0,0,740,1,2,1998,1,1,1,1,1,1,1,3,1.08177154,0,9.318165572,13.53314765
