gpr_mean,true_y,gpr_lwr,gpr_upr,day
8.745058015669771e-07,0.0,4.2973894177583946e-07,1.3192726613581146e-06,294
8.786175193966414e-07,1.7875561069173056e-06,4.3383027922633035e-07,1.3234047595669523e-06,295
8.827225810286993e-07,0.0,4.3791658638644057e-07,1.3275285756709579e-06,296
8.868169171371013e-07,1.989590462699158e-06,4.4199384893942173e-07,1.3316399853347806e-06,297
8.908964518590001e-07,0.0,4.460580343912585e-07,1.3357348693267418e-06,298
8.949571082503424e-07,0.0,4.501050967774543e-07,1.3398091197232304e-06,299
8.989948138267784e-07,0.0,4.541309814921949e-07,1.343858646161362e-06,300
9.030055061772161e-07,3.5257076976776165e-06,4.5813163023456965e-07,1.3478793821198626e-06,301
9.069851386416039e-07,0.0,4.621029860708994e-07,1.3518672912123083e-06,302
9.109296860438828e-07,0.0,4.660409986104346e-07,1.355818373477331e-06,303
9.148351504684676e-07,0.0,4.69941629290128e-07,1.359728671646807e-06,304
9.186975670722155e-07,0.0,4.738008567668832e-07,1.3635942773775478e-06,305
9.225130099201273e-07,3.601708650583837e-06,4.776146824131822e-07,1.3674113374270725e-06,306
9.262775978335311e-07,0.0,4.813791359092983e-07,1.371176059757764e-06,307
9.299875002433827e-07,0.0,4.850902809345781e-07,1.3748847195521875e-06,308
9.336389430334138e-07,0.0,4.887442209439634e-07,1.3785336651228643e-06,309
9.372282143663202e-07,3.553767615581849e-06,4.923371050329465e-07,1.382119323699694e-06,310
9.407516704796634e-07,0.0,4.958651338793074e-07,1.3856382070800193e-06,311
9.442057414413868e-07,0.0,4.993245657585637e-07,1.3890869171242098e-06,312
9.475869368536397e-07,0.0,5.027117226240186e-07,1.3924621510832608e-06,313
9.508918514948684e-07,4.949082192707363e-06,5.060229962468076e-07,1.395760706742929e-06,314
9.541171708872206e-07,0.0,5.092548544033088e-07,1.3989794873711325e-06,315
9.572596767805902e-07,3.249448812245223e-06,5.124038471051408e-07,1.4021155064560398e-06,316
9.603162525408352e-07,4.695092845461019e-06,5.154666128600465e-07,1.4051658922216237e-06,317
9.632838884322368e-07,0.0,5.184398849524459e-07,1.4081278919120277e-06,318
9.661596867826134e-07,0.0,5.213204977338375e-07,1.4109988758313893e-06,319
9.689408670218707e-07,0.0,5.24105392909874e-07,1.4137763411338672e-06,320
9.716247705819894e-07,0.0,5.267916258113884e-07,1.4164579153525902e-06,321
9.74208865649979e-07,1.5668995601712934e-06,5.293763716354008e-07,1.4190413596645574e-06,322
9.766907517614616e-07,0.0,5.318569316401541e-07,1.421524571882769e-06,323
9.790681642278891e-07,1.6874105672399365e-06,5.342307392808966e-07,1.4239055891748817e-06,324
9.81338978384746e-07,0.0,5.364953662668767e-07,1.4261825905026153e-06,325
9.835012136543262e-07,0.0,5.386485285246611e-07,1.4283538987839915e-06,326
9.855530374117113e-07,1.6566604376234212e-06,5.406880920473245e-07,1.4304179827760979e-06,327
9.874927686461969e-07,3.067635221360558e-06,5.42612078611547e-07,1.4323734586808467e-06,328
9.893188814098775e-07,4.640873721826029e-06,5.444186713430173e-07,1.4342190914767377e-06,329
9.910300080447974e-07,0.0,5.461062201080254e-07,1.4359537959815694e-06,330
9.926249421811834e-07,1.6136710208889713e-06,5.47673246712299e-07,1.4375766376500676e-06,331
9.941026414987212e-07,3.523397118565837e-06,5.491184498826525e-07,1.43908683311479e-06,332
9.954622302456684e-07,0.0,5.504407100120088e-07,1.440483750479328e-06,333
9.96703001505944e-07,1.6037746440021232e-06,5.516390936418525e-07,1.4417669093700353e-06,334
9.978244192118285e-07,1.564108098638913e-06,5.527128576630279e-07,1.442935980760629e-06,335
9.988261198934504e-07,6.2752086899089936e-06,5.536614532083999e-07,1.4439907865785007e-06,336
9.997079141613986e-07,0.0,5.544845292161051e-07,1.4449312991066917e-06,337
1.0004697879168087e-06,1.749891506726583e-06,5.551819356403749e-07,1.4457576401932426e-06,338
1.0011119032848387e-06,0.0,5.557537262861096e-07,1.446470080283568e-06,339
1.0016345992679012e-06,1.9597237573391653e-06,5.5620016124599e-07,1.4470690372898126e-06,340
1.0020383921142095e-06,0.0,5.565217089179364e-07,1.4475550753104826e-06,341
1.0023239754004884e-06,0.0,5.567190475818717e-07,1.447928903219105e-06,342
1.0024922198236391e-06,0.0,5.567930665145265e-07,1.4481913731327518e-06,343
1.002544172702671e-06,0.0,5.567448666252985e-07,1.4483434787800436e-06,344
1.0024810571874587e-06,0.0,5.565757605939537e-07,1.4483863537809639e-06,345
1.0023042711732064e-06,2.339011674007265e-06,5.56287272491974e-07,1.4483212698544387e-06,346
1.0020153859224518e-06,2.385957210243392e-06,5.558811368763502e-07,1.4481496349685536e-06,347
1.0016161443917694e-06,4.683347188235432e-06,5.553592973379395e-07,1.4478729914455996e-06,348
1.0011084592668718e-06,0.0,5.547239044961773e-07,1.447493014037566e-06,349
1.000494410705027e-06,0.0,5.539773134286444e-07,1.4470115079814096e-06,350
9.997762437882402e-07,0.0,5.53122080528576e-07,1.4464304070479045e-06,351
9.989563656881021e-07,4.192379930238798e-06,5.521609597841159e-07,1.4457517715920882e-06,352
9.980373425471068e-07,0.0,5.510968984780814e-07,1.4449777866161322e-06,353
9.970218960770925e-07,0.0,5.499330323042923e-07,1.4441107598498926e-06,354
9.959128998816986e-07,0.0,5.486726799058103e-07,1.4431531198575866e-06,355
9.947133755047358e-07,0.0,5.473193368363867e-07,1.442107414173085e-06,356
9.934264882116761e-07,0.0,5.458766689539712e-07,1.440976307469381e-06,357
9.920555425070874e-07,0.0,5.443485052537789e-07,1.4397625797603957e-06,358
9.906039773972136e-07,0.0,5.427388301559297e-07,1.4384691246384976e-06,359
9.89075361400518e-07,0.0,5.410517752580537e-07,1.437098947542982e-06,360
9.87473387316684e-07,2.0044378253453147e-06,5.392916105751422e-07,1.4356551640582257e-06,361
9.85801866758342e-07,0.0,5.374627352824573e-07,1.4341409982342264e-06,362
9.840647244559036e-07,7.415042154514648e-06,5.355696679864873e-07,1.4325597809253198e-06,363
9.822659923415523e-07,0.0,5.336170365477444e-07,1.4309149481353603e-06,364
9.80409803422869e-07,1.938465355747162e-06,5.316095674838353e-07,1.4292100393619028e-06,365
9.785003854545467e-07,0.0,5.295520749826981e-07,1.4274486959263955e-06,366
9.765420544171004e-07,0.0,5.274494495569206e-07,1.42563465927728e-06,367
9.745392078136029e-07,0.0,5.253066463760997e-07,1.4237717692511063e-06,368
9.724963177937227e-07,1.7064496972758236e-06,5.231286733119869e-07,1.4218639622754587e-06,369
9.704179241166551e-07,1.939345044391608e-06,5.209205787361659e-07,1.4199152694971444e-06,370
9.683086269621126e-07,0.0,5.186874391107902e-07,1.4179298148134351e-06,371
9.661730796033687e-07,0.0,5.164343464163927e-07,1.4159118127903448e-06,372
9.640159809510128e-07,0.0,5.141663954580409e-07,1.4138655664439846e-06,373
9.618420679810919e-07,0.0,5.118886711003868e-07,1.411795464861797e-06,374
9.596561080590464e-07,2.115627505696327e-06,5.096062354757274e-07,1.4097059806423651e-06,375
9.574628911713545e-07,3.334644960351072e-06,5.073241152158732e-07,1.4076016671268357e-06,376
9.552672220781929e-07,0.0,5.050472887581274e-07,1.4054871553982586e-06,377
9.530739123988425e-07,1.8366181248496268e-06,5.027806737764723e-07,1.4033671510212126e-06,378
9.50887772643724e-07,0.0,5.005291147914702e-07,1.4012464304959777e-06,379
9.48713604204553e-07,5.568455811518908e-06,4.982973710108098e-07,1.399129837398296e-06,380
9.46556191316906e-07,2.012935121088112e-06,4.960901044557695e-07,1.3970222781780426e-06,381
9.444202930080753e-07,0.0,4.939118684284288e-07,1.3949287175877217e-06,382
9.423106350427293e-07,1.8004198579108648e-06,4.917670963726359e-07,1.3928541737128228e-06,383
9.402319018806882e-07,0.0,4.896600911864129e-07,1.3908037125749634e-06,384
9.381887286594346e-07,1.704750799528125e-06,4.875950150375318e-07,1.3887824422813371e-06,385
9.36185693214004e-07,0.0,4.855758797382549e-07,1.3867955066897531e-06,386
9.342273081494815e-07,3.118106062377712e-06,4.836065377328206e-07,1.3848480785661424e-06,387
9.323180129765729e-07,0.0,4.81690673748269e-07,1.3829453522048768e-06,388
9.304621663262544e-07,0.0,4.798317971616514e-07,1.3810925354908574e-06,389
9.286640382535777e-07,0.0,4.78033235130329e-07,1.3792948413768264e-06,390
9.269278026463693e-07,1.7167146202283915e-06,4.7629812653439555e-07,1.377557478758343e-06,391
9.252575297486643e-07,0.0,4.746294167719039e-07,1.3758856427254245e-06,392
9.236571788141876e-07,0.0,4.7302985345113937e-07,1.374284504177236e-06,393
9.221305909005801e-07,0.0,4.715019830136886e-07,1.3727591987874715e-06,394
9.20681481816236e-07,0.0,4.700481483218452e-07,1.3713148153106266e-06,395
9.193134352335852e-07,0.0,4.6867048723801535e-07,1.369956383229155e-06,396
9.180298959783148e-07,0.0,4.6737093221767617e-07,1.3686888597389535e-06,397
9.168341635071814e-07,1.6484866068705626e-06,4.661512109309302e-07,1.3675171160834326e-06,398
9.157293855854423e-07,0.0,4.6501284792269973e-07,1.3664459232481849e-06,399
9.147185521740564e-07,0.0,4.6395716731214273e-07,1.36547993703597e-06,400
9.138044895373884e-07,0.0,4.6298529652462285e-07,1.364623682550154e-06,401
9.129898545826659e-07,0.0,4.620981710435095e-07,1.3638815381218223e-06,402
9.122771294377033e-07,0.0,4.612965401523092e-07,1.3632577187230973e-06,403
9.116686162809394e-07,0.0,4.605809736412752e-07,1.3627562589206035e-06,404
9.11166432428075e-07,0.0,4.5995186942838854e-07,1.3623809954277617e-06,405
9.107725056867525e-07,0.0,4.594094620446974e-07,1.362135549328808e-06,406
9.104885699865896e-07,1.578379982353712e-06,4.589538319208447e-07,1.3620233080523345e-06,407
9.103161612911069e-07,0.0,4.5858491539832895e-07,1.3620474071838849e-06,408
9.102566138011476e-07,0.0,4.5830251538555805e-07,1.3622107122167373e-06,409
9.103110564536381e-07,0.0,4.5810631256164614e-07,1.3625158003456301e-06,410
9.104804097238429e-07,0.0,4.5799587702777175e-07,1.3629649424199143e-06,411
9.107653827361527e-07,0.0,4.5797068029294057e-07,1.3635600851793646e-06,412
9.111664706883878e-07,1.7128097616453937e-06,4.580301074765621e-07,1.3643028339002133e-06,413
9.116839525952573e-07,1.7237515729233106e-06,4.5817346960034727e-07,1.3651944355901674e-06,414
9.123178893537199e-07,0.0,4.5840001583843056e-07,1.3662357628690095e-06,415
9.130681221347589e-07,1.960553660353684e-06,4.587089455886882e-07,1.3674272986808294e-06,416
9.139342711050097e-07,0.0,4.5909942022624995e-07,1.3687691219837695e-06,417
9.149157344802542e-07,0.0,4.595705743977342e-07,1.3702608945627743e-06,418
9.160116879118052e-07,1.7027942854223782e-06,4.6012152671269347e-07,1.371901849110917e-06,419
9.172210842105408e-07,0.0,4.607513896958024e-07,1.3736907787252792e-06,420
9.185426534054613e-07,0.0,4.614592788574692e-07,1.3756260279534536e-06,421
9.199749031393737e-07,0.0,4.622443207517445e-07,1.3777054855270028e-06,422
9.215161194023569e-07,1.870340514194014e-06,4.6310565989417086e-07,1.379926578910543e-06,423
9.23164367599931e-07,1.8305128181660087e-06,4.640424644156699e-07,1.382286270784192e-06,424
9.249174939568755e-07,1.739859662919589e-06,4.6505393034090055e-07,1.3847810575728504e-06,425
9.267731272532723e-07,0.0,4.6613928438464387e-07,1.3874069701219005e-06,426
9.287286808918827e-07,0.0,4.672977851714766e-07,1.3901595766122887e-06,427
9.307813552925168e-07,3.577670328412248e-06,4.685287227903029e-07,1.3930339877947306e-06,428
9.329281406119466e-07,0.0,4.6983141660956326e-07,1.39602486461433e-06,429
9.351658197835902e-07,0.0,4.712052112829318e-07,1.3991264282842486e-06,430
9.374909718733248e-07,0.0,4.726494708887631e-07,1.4023324728578868e-06,431
9.398999757472423e-07,3.977131493910018e-06,4.7416357115287853e-07,1.405636380341606e-06,432
9.423890140444663e-07,0.0,4.757468897114912e-07,1.4090311383774411e-06,433
9.449540774508894e-07,0.0,4.773987943777674e-07,1.4125093605240113e-06,434
9.475909692658535e-07,3.883374497103003e-06,4.791186293811604e-07,1.4160633091505466e-06,435
9.502953102562181e-07,1.9819916241033964e-06,4.80905699550216e-07,1.4196849209622204e-06,436
9.530625437898627e-07,0.0,4.827592524138705e-07,1.4233658351658548e-06,437
9.55887941241247e-07,0.0,4.846784581935951e-07,1.4270974242888993e-06,438
9.58766607661059e-07,3.437902879243661e-06,4.866623876609255e-07,1.4308708276611925e-06,439
9.616934877010693e-07,1.877846110511244e-06,4.887099878276686e-07,1.4346769875744703e-06,440
9.64663371785614e-07,1.8479847726054735e-06,4.908200554358717e-07,1.4385066881353565e-06,441
9.676709025204492e-07,0.0,4.92991208204616e-07,1.4423505968362823e-06,442
9.707105813291405e-07,1.8921046258173887e-06,4.952218537866823e-07,1.4461993088715989e-06,443
9.737767753075274e-07,0.0,4.975101563777739e-07,1.450043394237281e-06,444
9.768637242850736e-07,2.00546690277697e-06,4.99854000913541e-07,1.4538734476566063e-06,445
9.799655480841143e-07,0.0,5.022509547805442e-07,1.4576801413876843e-06,446
9.830762539641989e-07,1.8840907378099332e-06,5.046982269559455e-07,1.4614542809724523e-06,447
9.861897442419472e-07,1.935265373264309e-06,5.071926244878556e-07,1.4651868639960388e-06,448
9.892998240743693e-07,2.077140857152946e-06,5.097305062151361e-07,1.4688691419336025e-06,449
9.924002093946073e-07,0.0,5.123077336279678e-07,1.4724926851612468e-06,450
9.954845349868178e-07,7.529364521634374e-06,5.149196187614569e-07,1.4760494512121788e-06,451
9.985463626906983e-07,0.0,5.175608690269726e-07,1.4795318563544241e-06,452
1.0015791897212582e-06,2.7508954164580573e-06,5.202255288856521e-07,1.4829328505568642e-06,453
1.004576457092561e-06,2.8946073465134455e-06,5.229069182909932e-07,1.4862459958941288e-06,454
1.0075315581333164e-06,0.0,5.255975678492853e-07,1.4894655484173478e-06,455
1.010437847080536e-06,3.0719418051344446e-06,5.282891506829015e-07,1.4925865434781705e-06,456
1.0132886477406216e-06,0.0,5.309724110318468e-07,1.4956048844493964e-06,457
1.0160772622029025e-06,0.0,5.336370896925627e-07,1.4985174347132425e-06,458
1.0187969795952853e-06,0.0,5.362718464795187e-07,1.5013221127110519e-06,459
1.021441084867037e-06,0.0,5.388641799978345e-07,1.5040179897362394e-06,460
1.024002867588261e-06,0.0,5.414003451514647e-07,1.506605390025057e-06,461
1.026475630750694e-06,3.059835074889464e-06,5.43865268965128e-07,1.5090859925362598e-06,462
1.0288526995606048e-06,0.0,5.462424654973762e-07,1.5114629336238334e-06,463
1.0311274302073365e-06,0.0,5.485139508386433e-07,1.5137409095760295e-06,464
